;Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year
106;Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;42203;TV;12;28 min. per ep.;White Fox;Light;Drama,Fantasy,Suspense;N\A; R - 17+ (violence & profanity)  ;239;8.51;N\A;2021
107;Tian Guan Ci Fu Special;44070;ONA;1;22 min.;Haoliners Animation League;Web;Drama,Supernatural;N\A; PG-13 - Teens 13 or older  ;3676;8.51;N\A;2021
108;Uchuu Kyoudai;12431;TV;99;24 min. per ep.;A-1 Pictures;Manga;Comedy,Sci-Fi,Slice of Life;N\A; PG-13 - Teens 13 or older  ;1067;8.51;Seinen;2012
109;Ansatsu Kyoushitsu 2nd Season;30654;TV;25;23 min. per ep.;Lerche;Manga;Action,Comedy;N\A; PG-13 - Teens 13 or older  ;85;8.51;Shounen;2016
110;Banana Fish;36649;TV;24;22 min. per ep.;MAPPA;Manga;Action,Adventure,Drama;N\A; R - 17+ (violence & profanity)  ;224;8.51;Shoujo;2018
111;Josee to Tora to Sakana-tachi;40787;Movie;1;1 hr. 38 min.;Bones;Novel;Drama,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;800;8.51;N\A;2020
112;Aria the Origination;3297;TV;13;24 min. per ep.;Hal Film Maker;Manga;Fantasy,Sci-Fi,Slice of Life;N\A; G - All Ages  ;1529;8.50;Shounen;2008
113;Hotaru no Haka;578;Movie;1;1 hr. 28 min.;Studio Ghibli;Novel;N\A;N\A; PG-13 - Teens 13 or older  ;301;8.50;N\A;1988
114;JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai;31933;TV;39;23 min. per ep.;David Production;Manga;Action,Adventure,Comedy,Drama,Supernatural;N\A; R - 17+ (violence & profanity)  ;133;8.50;Shounen;2016
115;Rainbow: Nisha Rokubou no Shichinin;6114;TV;26;22 min. per ep.;Madhouse;Manga;Drama,Suspense;N\A; R - 17+ (violence & profanity)  ;506;8.50;Seinen;2010
116;Samurai Champloo;205;TV;26;24 min. per ep.;Manglobe;Original;Action,Adventure,Comedy;Historical,Samurai; R - 17+ (violence & profanity)  ;98;8.50;Shounen;2004
117;Shingeki no Kyojin Season 2;25777;TV;12;24 min. per ep.;Wit Studio;Manga;Action,Drama,Fantasy,Mystery;Military,Super Power; R - 17+ (violence & profanity)  ;12;8.49;Shounen;2017
118;Gintama: The Semi-Final;44087;Special;2;24 min. per ep.;Bandai Namco Pictures;Manga;Action,Comedy;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;2659;8.49;Shounen;2021
119;Chihayafuru 3;37379;TV;24;22 min. per ep.;Madhouse;Manga;Drama,Slice of Life,Sports;Game,School; PG-13 - Teens 13 or older  ;1498;8.48;Josei;2019
120;Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu;38040;Movie;1;1 hr. 30 min.;J.C.Staff;Light;Adventure,Comedy,Fantasy,Supernatural;N\A; PG-13 - Teens 13 or older  ;255;8.48;N\A;2019
